# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     96     75      0      0      0      0 
    0     16      7      0      0      0      0 
    0     95     94      0      0      0      0 
    0     94     93      0      0      0      0 
    0     95     94      0      0      0      0 
    0     94     93      0      0      0      0 
    0     93     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     94     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     95      0      0      0      0 
    0     94     94      0      0      0      0 
    0     95     95      0      0      0      0 
    0     95     93      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     92      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     94      0      0      0      0 
    0     95     94      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     94      0      0      0      0 
    0     94     93      0      0      0      0 
    0     94     94      0      0      0      0 
    0     97     95      0      0      0      0 
    0     95     93      0      0      0      0 
    0     94     93      0      0      0      0 
    0     95     94      0      0      0      0 
    0     95     93      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     93      0      0      0      0 
    0     95     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     96     94      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     98     95      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     95     93      0      0      0      0 
    0     94     92      0      0      0      0 
    0     95     93      0      0      0      0 
    0     97     96      0      0      0      0 
    0     96     95      0      0      0      0 
    0     95     93      0      0      0      0 
    0     96     94      0      0      0      0 
    0     95     93      0      0      0      0 
