NAME                          READY   STATUS    RESTARTS   AGE
broker-855b5f8596-lw7xv       1/1     Running   0          11m
llm-worker-67677ff4c6-vdr7j   1/1     Running   0          11m
llm-worker-67677ff4c6-4f2tq   0/1     Pending   0          0s
llm-worker-67677ff4c6-88gf6   0/1     Pending   0          0s
llm-worker-67677ff4c6-4f2tq   0/1     Pending   0          0s
llm-worker-67677ff4c6-ghptc   0/1     Pending   0          0s
llm-worker-67677ff4c6-ghptc   0/1     Pending   0          0s
llm-worker-67677ff4c6-88gf6   0/1     Pending   0          0s
llm-worker-67677ff4c6-572xp   0/1     Pending   0          0s
llm-worker-67677ff4c6-4f2tq   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-572xp   0/1     Pending             0          0s
llm-worker-67677ff4c6-ghptc   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-88gf6   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-572xp   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-4f2tq   0/1     Running             0          0s
llm-worker-67677ff4c6-572xp   0/1     Running             0          0s
llm-worker-67677ff4c6-ghptc   0/1     Running             0          0s
llm-worker-67677ff4c6-88gf6   0/1     Running             0          0s
llm-worker-67677ff4c6-47jct   0/1     Pending             0          0s
llm-worker-67677ff4c6-47jct   0/1     Pending             0          0s
llm-worker-67677ff4c6-clgnk   0/1     Pending             0          0s
llm-worker-67677ff4c6-5xwd6   0/1     Pending             0          0s
llm-worker-67677ff4c6-5xwd6   0/1     Pending             0          0s
llm-worker-67677ff4c6-clgnk   0/1     Pending             0          0s
llm-worker-67677ff4c6-47jct   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-5xwd6   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-clgnk   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-5xwd6   0/1     Running             0          1s
llm-worker-67677ff4c6-47jct   0/1     Running             0          1s
llm-worker-67677ff4c6-clgnk   0/1     Running             0          1s
llm-worker-67677ff4c6-88gf6   1/1     Running             0          20s
llm-worker-67677ff4c6-ghptc   1/1     Running             0          20s
llm-worker-67677ff4c6-572xp   1/1     Running             0          20s
llm-worker-67677ff4c6-4f2tq   1/1     Running             0          20s
llm-worker-67677ff4c6-47jct   1/1     Running             0          20s
llm-worker-67677ff4c6-5xwd6   1/1     Running             0          20s
llm-worker-67677ff4c6-clgnk   1/1     Running             0          20s
llm-worker-67677ff4c6-47jct   1/1     Terminating         0          83s
llm-worker-67677ff4c6-47jct   1/1     Terminating         0          83s
llm-worker-67677ff4c6-47jct   0/1     Completed           0          83s
llm-worker-67677ff4c6-47jct   0/1     Completed           0          83s
llm-worker-67677ff4c6-47jct   0/1     Completed           0          83s
llm-worker-67677ff4c6-4f2tq   1/1     Terminating         0          2m3s
llm-worker-67677ff4c6-4f2tq   1/1     Terminating         0          2m4s
llm-worker-67677ff4c6-4f2tq   0/1     Completed           0          2m5s
llm-worker-67677ff4c6-4f2tq   0/1     Completed           0          2m5s
llm-worker-67677ff4c6-4f2tq   0/1     Completed           0          2m5s
llm-worker-67677ff4c6-88gf6   1/1     Terminating         0          2m31s
llm-worker-67677ff4c6-88gf6   1/1     Terminating         0          2m31s
llm-worker-67677ff4c6-88gf6   0/1     Completed           0          2m31s
llm-worker-67677ff4c6-88gf6   0/1     Completed           0          2m32s
llm-worker-67677ff4c6-88gf6   0/1     Completed           0          2m32s
llm-worker-67677ff4c6-clgnk   1/1     Terminating         0          2m45s
llm-worker-67677ff4c6-clgnk   1/1     Terminating         0          2m45s
llm-worker-67677ff4c6-clgnk   0/1     Completed           0          2m46s
llm-worker-67677ff4c6-clgnk   0/1     Completed           0          2m46s
llm-worker-67677ff4c6-clgnk   0/1     Completed           0          2m46s
llm-worker-67677ff4c6-5xwd6   1/1     Terminating         0          3m15s
llm-worker-67677ff4c6-5xwd6   1/1     Terminating         0          3m15s
llm-worker-67677ff4c6-5xwd6   0/1     Completed           0          3m14s
llm-worker-67677ff4c6-5xwd6   0/1     Completed           0          3m14s
llm-worker-67677ff4c6-5xwd6   0/1     Completed           0          3m14s
llm-worker-67677ff4c6-ghptc   1/1     Terminating         0          3m56s
llm-worker-67677ff4c6-ghptc   1/1     Terminating         0          3m56s
llm-worker-67677ff4c6-ghptc   0/1     Completed           0          3m57s
llm-worker-67677ff4c6-ghptc   0/1     Completed           0          3m57s
llm-worker-67677ff4c6-ghptc   0/1     Completed           0          3m57s
llm-worker-67677ff4c6-572xp   1/1     Terminating         0          4m23s
llm-worker-67677ff4c6-572xp   1/1     Terminating         0          4m24s
llm-worker-67677ff4c6-572xp   0/1     Completed           0          4m24s
llm-worker-67677ff4c6-572xp   0/1     Completed           0          4m25s
llm-worker-67677ff4c6-572xp   0/1     Completed           0          4m25s
llm-worker-67677ff4c6-572xp   0/1     Completed           0          4m25s
