t,queue_depth,in_flight,backlog,completed,active_workers,oldest_queued_wait_s,avg_queue_wait_s,spec_replicas,status_replicas,ready_replicas,unavailable_replicas,hpa_desired,hpa_current,worker_cpu_total_m,worker_cpu_pods,worker_cpu_mean_m
0.0,0,0,0,0,0,0.0,0.0,1,1,1,0,1,1,9,1,9.0
1.32,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
2.51,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
3.7,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
4.98,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
6.19,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
7.39,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
8.66,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
9.86,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
11.06,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
12.39,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
13.58,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
14.79,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
16.1,198,2,200,0,1,1.102,0.0,1,1,1,0,1,1,9,1,9.0
17.3,198,2,200,0,1,2.306,0.0,1,1,1,0,1,1,9,1,9.0
18.5,196,2,198,2,1,3.503,0.037,1,1,1,0,1,1,9,1,9.0
19.77,196,2,198,2,1,4.77,0.037,1,1,1,0,1,1,9,1,9.0
20.96,196,2,198,2,1,5.967,0.037,1,1,1,0,1,1,9,1,9.0
22.17,194,2,196,4,1,7.174,1.548,1,1,1,0,1,1,9,1,9.0
23.45,194,2,196,4,1,8.448,1.548,1,1,1,0,1,1,9,1,9.0
24.63,192,2,194,6,1,9.635,3.056,1,1,1,0,1,1,9,1,9.0
25.82,192,2,194,6,1,10.82,3.056,1,1,1,0,1,1,9,1,9.0
27.11,191,2,193,7,1,12.112,3.917,1,1,1,0,1,1,9,1,9.0
28.33,190,2,192,8,1,13.33,4.563,1,1,1,0,1,1,9,1,9.0
27.04,190,2,192,8,1,12.041,4.563,5,5,1,4,5,1,9,1,9.0
28.41,188,2,190,10,1,13.413,6.083,5,5,1,4,5,1,9,1,9.0
29.63,188,2,190,10,1,14.637,6.083,5,5,1,4,5,1,9,1,9.0
30.87,186,2,188,12,1,15.869,7.184,5,5,1,4,5,1,28,1,28.0
32.2,186,2,188,12,1,17.204,7.184,5,5,1,4,5,1,28,1,28.0
33.4,186,2,188,12,1,18.4,7.184,5,5,1,4,5,1,28,1,28.0
34.6,184,2,186,14,1,19.598,8.399,5,5,1,4,5,1,28,1,28.0
36.06,184,2,186,14,1,21.067,8.399,5,5,1,4,5,1,28,1,28.0
37.26,182,2,184,16,1,22.266,9.686,5,5,1,4,5,1,28,1,28.0
