NAME                          READY   STATUS    RESTARTS   AGE
broker-855b5f8596-lw7xv       1/1     Running   0          2m6s
llm-worker-67677ff4c6-vdr7j   1/1     Running   0          2m6s
llm-worker-67677ff4c6-xcgvr   0/1     Pending   0          0s
llm-worker-67677ff4c6-xcgvr   0/1     Pending   0          0s
llm-worker-67677ff4c6-75qgc   0/1     Pending   0          0s
llm-worker-67677ff4c6-5mwch   0/1     Pending   0          0s
llm-worker-67677ff4c6-5mwch   0/1     Pending   0          0s
llm-worker-67677ff4c6-mz696   0/1     Pending   0          0s
llm-worker-67677ff4c6-75qgc   0/1     Pending   0          0s
llm-worker-67677ff4c6-mz696   0/1     Pending   0          0s
llm-worker-67677ff4c6-xcgvr   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-5mwch   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-75qgc   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-mz696   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-75qgc   0/1     Running             0          1s
llm-worker-67677ff4c6-mz696   0/1     Running             0          1s
llm-worker-67677ff4c6-5mwch   0/1     Running             0          1s
llm-worker-67677ff4c6-xcgvr   0/1     Running             0          1s
llm-worker-67677ff4c6-4mfgt   0/1     Pending             0          0s
llm-worker-67677ff4c6-4mfgt   0/1     Pending             0          0s
llm-worker-67677ff4c6-jldsl   0/1     Pending             0          0s
llm-worker-67677ff4c6-7c4gl   0/1     Pending             0          0s
llm-worker-67677ff4c6-7c4gl   0/1     Pending             0          0s
llm-worker-67677ff4c6-jldsl   0/1     Pending             0          0s
llm-worker-67677ff4c6-4mfgt   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-7c4gl   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-jldsl   0/1     ContainerCreating   0          0s
llm-worker-67677ff4c6-4mfgt   0/1     Running             0          1s
llm-worker-67677ff4c6-jldsl   0/1     Running             0          1s
llm-worker-67677ff4c6-7c4gl   0/1     Running             0          1s
llm-worker-67677ff4c6-xcgvr   1/1     Running             0          20s
llm-worker-67677ff4c6-mz696   1/1     Running             0          20s
llm-worker-67677ff4c6-5mwch   1/1     Running             0          20s
llm-worker-67677ff4c6-75qgc   1/1     Running             0          20s
llm-worker-67677ff4c6-4mfgt   1/1     Running             0          20s
llm-worker-67677ff4c6-7c4gl   1/1     Running             0          20s
llm-worker-67677ff4c6-jldsl   1/1     Running             0          20s
llm-worker-67677ff4c6-7c4gl   1/1     Terminating         0          82s
llm-worker-67677ff4c6-7c4gl   1/1     Terminating         0          82s
llm-worker-67677ff4c6-7c4gl   0/1     Completed           0          83s
llm-worker-67677ff4c6-7c4gl   0/1     Completed           0          83s
llm-worker-67677ff4c6-7c4gl   0/1     Completed           0          83s
llm-worker-67677ff4c6-xcgvr   1/1     Terminating         0          2m3s
llm-worker-67677ff4c6-xcgvr   1/1     Terminating         0          2m3s
llm-worker-67677ff4c6-xcgvr   0/1     Completed           0          2m3s
llm-worker-67677ff4c6-xcgvr   0/1     Completed           0          2m4s
llm-worker-67677ff4c6-xcgvr   0/1     Completed           0          2m4s
llm-worker-67677ff4c6-5mwch   1/1     Terminating         0          2m30s
llm-worker-67677ff4c6-5mwch   1/1     Terminating         0          2m30s
llm-worker-67677ff4c6-5mwch   0/1     Completed           0          2m31s
llm-worker-67677ff4c6-5mwch   0/1     Completed           0          2m31s
llm-worker-67677ff4c6-5mwch   0/1     Completed           0          2m31s
llm-worker-67677ff4c6-4mfgt   1/1     Terminating         0          2m47s
llm-worker-67677ff4c6-4mfgt   1/1     Terminating         0          2m48s
llm-worker-67677ff4c6-4mfgt   0/1     Completed           0          2m48s
llm-worker-67677ff4c6-4mfgt   0/1     Completed           0          2m46s
llm-worker-67677ff4c6-4mfgt   0/1     Completed           0          2m46s
llm-worker-67677ff4c6-mz696   1/1     Terminating         0          3m28s
llm-worker-67677ff4c6-mz696   1/1     Terminating         0          3m28s
llm-worker-67677ff4c6-mz696   0/1     Completed           0          3m28s
llm-worker-67677ff4c6-mz696   0/1     Completed           0          3m29s
llm-worker-67677ff4c6-mz696   0/1     Completed           0          3m29s
llm-worker-67677ff4c6-mz696   0/1     Completed           0          3m29s
llm-worker-67677ff4c6-75qgc   1/1     Terminating         0          3m55s
llm-worker-67677ff4c6-75qgc   1/1     Terminating         0          3m55s
llm-worker-67677ff4c6-75qgc   0/1     Completed           0          3m56s
llm-worker-67677ff4c6-75qgc   0/1     Completed           0          3m56s
llm-worker-67677ff4c6-75qgc   0/1     Completed           0          3m56s
llm-worker-67677ff4c6-jldsl   1/1     Terminating         0          4m10s
llm-worker-67677ff4c6-jldsl   1/1     Terminating         0          4m10s
llm-worker-67677ff4c6-jldsl   0/1     Completed           0          4m11s
llm-worker-67677ff4c6-jldsl   0/1     Completed           0          4m11s
llm-worker-67677ff4c6-jldsl   0/1     Completed           0          4m11s
