t,queue_depth,in_flight,backlog,completed,active_workers,oldest_queued_wait_s,avg_queue_wait_s,spec_replicas,status_replicas,ready_replicas,unavailable_replicas,hpa_desired,hpa_current,worker_cpu_total_m,worker_cpu_pods,worker_cpu_mean_m
0.0,0,0,0,0,0,0.0,0.0,1,1,1,0,1,1,9,1,9.0
1.31,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
2.51,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
3.73,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
5.07,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
6.26,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
7.45,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
8.74,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
9.94,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
11.13,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
12.42,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
13.6,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
14.79,0,0,0,0,1,0.0,0.0,1,1,1,0,1,1,9,1,9.0
16.26,198,2,200,0,1,1.32,0.0,1,1,1,0,1,1,9,1,9.0
17.47,198,2,200,0,1,2.531,0.0,1,1,1,0,5,1,9,1,9.0
18.69,196,2,198,2,1,3.748,0.007,5,5,1,4,5,1,9,1,9.0
19.98,196,2,198,2,1,5.04,0.007,5,5,1,4,5,1,9,1,9.0
18.73,194,2,196,4,1,3.785,1.537,5,5,1,4,5,1,9,1,9.0
19.91,194,2,196,4,1,4.973,1.537,5,5,1,4,5,1,9,1,9.0
21.2,194,2,196,4,1,6.263,1.537,5,5,1,4,5,1,9,1,9.0
22.42,192,2,194,6,1,7.477,2.231,5,5,1,4,5,1,9,1,9.0
23.62,192,2,194,6,1,8.682,2.231,5,5,1,4,5,1,9,1,9.0
24.9,190,2,192,8,1,9.958,3.329,5,5,1,4,5,1,9,1,9.0
26.09,190,2,192,8,1,11.154,3.329,5,5,1,4,5,1,9,1,9.0
27.3,190,2,192,8,1,12.359,3.329,5,5,1,4,5,1,9,1,9.0
28.6,188,2,190,10,1,13.663,4.588,5,5,1,4,5,1,9,1,9.0
29.79,188,2,190,10,1,14.845,4.588,5,5,1,4,5,1,9,1,9.0
30.99,186,2,188,12,1,16.054,5.929,8,8,1,7,8,5,9,1,9.0
32.33,186,2,188,12,1,17.393,5.929,8,8,1,7,8,5,9,1,9.0
33.54,185,2,187,13,1,18.6,6.669,8,8,1,7,8,5,9,1,9.0
34.77,184,2,186,14,1,19.827,7.315,8,8,1,7,8,5,117,5,23.4
36.05,184,2,186,14,1,21.115,7.315,8,8,1,7,8,5,117,5,23.4
37.25,174,10,184,16,5,22.315,8.731,8,8,1,7,8,5,117,5,23.4
38.45,174,10,184,16,5,23.513,8.731,8,8,5,3,8,5,117,5,23.4
39.76,164,10,174,26,5,24.819,13.621,8,8,5,3,8,5,117,5,23.4
40.95,164,10,174,26,5,26.006,13.621,8,8,5,3,8,5,117,5,23.4
42.13,164,10,174,26,5,27.191,13.621,8,8,5,3,8,5,117,5,23.4
43.41,154,10,164,36,5,28.471,16.642,8,8,5,3,8,5,117,5,23.4
44.64,154,10,164,36,5,29.697,16.642,8,8,5,3,8,5,117,5,23.4
45.84,144,10,154,46,5,30.904,19.007,8,8,5,3,8,8,117,5,23.4
47.1,144,10,154,46,5,32.164,19.007,8,8,5,3,8,8,117,5,23.4
48.3,144,10,154,46,5,33.359,19.007,8,8,5,3,8,8,117,5,23.4
49.53,134,10,144,56,5,34.593,21.064,8,8,5,3,8,8,117,5,23.4
48.33,134,10,144,56,5,33.394,21.064,8,8,5,3,8,8,117,5,23.4
49.52,118,16,134,66,8,34.579,22.952,8,8,5,3,8,8,117,5,23.4
50.72,118,16,134,66,8,35.78,22.952,8,8,8,0,8,8,117,5,23.4
52.03,107,16,123,77,8,37.088,24.523,8,8,8,0,8,8,117,5,23.4
53.27,102,16,118,82,8,38.333,25.11,8,8,8,0,8,8,117,5,23.4
54.47,102,16,118,82,8,39.527,25.11,8,8,8,0,8,8,117,5,23.4
55.75,86,16,102,98,8,40.812,27.054,8,8,8,0,8,8,117,5,23.4
56.96,86,16,102,98,8,42.017,27.054,8,8,8,0,8,8,117,5,23.4
58.15,71,16,87,113,8,43.207,28.776,8,8,8,0,8,8,117,5,23.4
59.47,70,16,86,114,8,44.528,28.877,8,8,8,0,8,8,117,5,23.4
60.66,70,16,86,114,8,45.718,28.877,8,8,8,0,8,8,117,5,23.4
61.85,54,16,70,130,8,46.913,30.621,8,8,8,0,8,8,117,5,23.4
63.2,54,16,70,130,8,48.263,30.621,8,8,8,0,8,8,117,5,23.4
64.4,38,16,54,146,8,49.459,32.313,8,8,8,0,8,8,117,5,23.4
65.59,38,16,54,146,8,50.647,32.313,8,8,8,0,8,8,117,5,23.4
66.86,37,16,53,147,8,51.92,32.426,8,8,8,0,8,8,117,5,23.4
68.1,22,16,38,162,8,53.162,33.967,8,8,8,0,8,8,117,5,23.4
69.29,22,16,38,162,8,54.353,33.967,8,8,8,0,8,8,117,5,23.4
70.57,6,16,22,178,8,55.625,35.594,8,8,8,0,8,8,117,5,23.4
71.75,6,16,22,178,8,56.814,35.594,8,8,8,0,8,8,117,5,23.4
72.93,0,16,16,184,8,0.0,36.225,8,8,8,0,8,8,117,5,23.4
74.27,0,6,6,194,8,0.0,37.2,8,8,8,0,8,8,117,5,23.4
75.46,0,6,6,194,8,0.0,37.2,8,8,8,0,8,8,117,5,23.4
76.65,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
77.94,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
79.13,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
77.83,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
79.18,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
80.36,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
81.56,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
82.9,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
84.12,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
85.3,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
86.58,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
87.78,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
88.97,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
90.24,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
91.44,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,117,5,23.4
92.62,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
93.87,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
95.05,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
96.24,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
97.52,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
98.71,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
99.9,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
101.16,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
102.36,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
103.55,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
104.85,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
106.04,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
107.24,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
108.53,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
109.71,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
108.42,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
109.75,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
110.94,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
112.15,0,0,0,200,8,0.0,37.823,8,8,8,0,8,8,488,8,61.0
113.42,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,488,8,61.0
114.61,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,488,8,61.0
115.81,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
117.1,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
118.28,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
119.46,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
120.73,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
121.91,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
123.08,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
124.41,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
125.59,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
126.79,0,0,0,200,8,0.0,37.823,7,7,7,0,7,8,442,7,63.1
128.06,0,0,0,200,8,0.0,37.823,7,7,7,0,7,7,442,7,63.1
129.28,0,0,0,200,8,0.0,37.823,7,7,7,0,7,7,442,7,63.1
130.47,0,0,0,200,8,0.0,37.823,7,7,7,0,7,7,442,7,63.1
131.77,0,0,0,200,8,0.0,37.823,7,7,7,0,7,7,442,7,63.1
132.96,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
134.16,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
135.43,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
136.63,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
137.81,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
139.1,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
137.84,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
139.08,0,0,0,200,7,0.0,37.823,7,7,7,0,7,7,442,7,63.1
140.35,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,442,7,63.1
141.57,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,442,7,63.1
142.75,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,370,6,61.7
144.02,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,370,6,61.7
145.21,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,370,6,61.7
146.4,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
147.7,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
148.88,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
150.09,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
151.37,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
152.56,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
153.76,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
155.04,0,0,0,200,7,0.0,37.823,6,6,6,0,6,7,65,6,10.8
156.25,0,0,0,200,7,0.0,37.823,6,6,6,0,6,6,65,6,10.8
157.46,0,0,0,200,7,0.0,37.823,6,6,6,0,6,6,65,6,10.8
158.78,0,0,0,200,7,0.0,37.823,6,6,6,0,6,6,65,6,10.8
159.97,0,0,0,200,7,0.0,37.823,6,6,6,0,6,6,65,6,10.8
161.17,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
162.46,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
163.66,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
164.86,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
166.15,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
167.34,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
168.53,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
167.32,0,0,0,200,6,0.0,37.823,6,6,6,0,6,6,65,6,10.8
168.51,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,65,6,10.8
169.71,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
171.01,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
172.21,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
173.4,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
174.68,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
175.88,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
177.06,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
178.34,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
179.53,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
180.72,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
182.01,0,0,0,200,6,0.0,37.823,5,5,5,0,5,6,54,5,10.8
183.2,0,0,0,200,6,0.0,37.823,5,5,5,0,5,5,54,5,10.8
184.38,0,0,0,200,6,0.0,37.823,5,5,5,0,5,5,54,5,10.8
185.67,0,0,0,200,6,0.0,37.823,5,5,5,0,5,5,54,5,10.8
186.89,0,0,0,200,6,0.0,37.823,5,5,5,0,5,5,54,5,10.8
188.09,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
189.37,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
190.56,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
191.76,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
193.03,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
194.23,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
195.43,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
196.7,0,0,0,200,5,0.0,37.823,5,5,5,0,5,5,54,5,10.8
197.88,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,54,5,10.8
199.09,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,43,4,10.8
197.88,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,43,4,10.8
199.06,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,43,4,10.8
200.24,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
201.51,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
202.71,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
203.9,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
205.2,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
206.4,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
207.6,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
208.89,0,0,0,200,5,0.0,37.823,4,4,4,0,4,5,40,4,10.0
